Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Sand Point,35.880,75.680,Salt peat,-26.67,632-512,-0.81,0.20,Kemp (2009),1,535,30
Sand Point,35.880,75.680,Salt peat,-27,917-743,-1.26,0.20,Kemp (2009),1,910,30
Sand Point,35.880,75.680,Salt peat,-14.08,964-800,-1.40,0.20,Kemp (2009),1,1000,25
Sand Point,35.880,75.680,Salt peat,-13.26,1057-933,-1.50,0.20,Kemp (2009),1,1080,30
Sand Point,35.880,75.680,Salt peat,-13.4,1230-1006,-1.71,0.20,Kemp (2009),1,1190,30
Sand Point,35.880,75.680,Salt peat,-13.28,1539-1413,-1.99,0.20,Kemp (2009),1,1600,25
Sand Point,35.880,75.680,Salt peat,-13.78,2287-2003,-2.50,0.20,Kemp (2009),1,2120,25
Sand Point,35.880,75.680,Salt peat,-20.65,2849-2543,-2.67,0.20,Kemp (2009),1,2620,45
Kitty Hawk,36.050,75.700,Salt peat,-24.6,11231-10889,-30.37,1.10,Mallinson et al. (2005),1,9720,40
Kitty Hawk,36.050,75.700,Salt peat,-25.48,11603-11235,-30.37,1.10,Mallinson et al. (2005),1,9930,45
Kitty Hawk,36.050,75.710,Salt peat,-14.64,11062-10576,-35.76,1.10,Mallinson et al. (2005),1,9460,40
Buxton,35.260,75.520,Salt peat,-25.1,286-0,-0.42,0.20,Horton et al. (2009),1,160,30
Salvo,35.650,75.460,Salt peat,-27.43,306-0,-0.43,0.20,Horton et al. (2009),1,200,35
Sand Point,35.880,75.680,Salt peat,-26.65,658-546,-0.77,0.20,Kemp (2009),1,615,35
Sand Point,35.880,75.680,Salt peat,-27.45,2698-2346,-2.49,0.20,Kemp (2009),1,2410,35
Sand Point,35.880,75.680,Salt peat,-27.97,1523-1067,-1.42,0.20,Kemp (2009),1,1390,110
Sand Point,35.880,75.680,Salt peat,-28.58,2699-2345,-2.68,0.20,Kemp (2009),1,2410,40
Kitty Hawk,36.020,75.720,Plant frags,-28,8853-8455,-15.37,1.10,Mallinson et al. (2005),3,7830,50
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Albemarle Sound,36.110,76.070,Crassostrea shell,,6682-6273,-15.06,0.51,Horton et al. (2009),4,6140,80
Albemarle Sound,36.110,76.070,Crassostrea shell,,2710-2331,-6.68,0.51,Horton et al. (2009),4,2880,60
Albemarle Sound,36.110,76.070,Cyrtopleura/Tegalus shell,,4466-3839,-9.11,0.51,Horton et al. (2009),4,4200,100
Albemarle Sound,36.110,76.070,Cyrtopleura shell,,5199-4817,-8.99,0.11,Horton et al. (2009),4,4810,40
Albemarle Sound,36.050,75.690,Mactra/Mercenaria shell,,5755-5213,-11.88,0.11,Horton et al. (2009),4,5225,105
Albemarle Sound,36.050,75.690,Ensis shell,,6174-5622,-13.37,0.11,Horton et al. (2009),4,5600,110
Croatan Sound,35.890,75.720,Crassostrea shell,,4806-4295,-7.91,0.11,Horton et al. (2009),4,4480,80
Croatan Sound,35.880,75.710,Macoma shell,-5.3,3584-3229,-6.01,0.51,Horton et al. (2009),4,3610,50
Croatan Sound,35.920,75.750,Cyrtopleura shell,,4346-3496,-6.46,0.51,Horton et al. (2009),4,4010,150
Croatan Sound,35.920,75.750,Crassostrea shell,,4843-4382,-7.95,0.11,Horton et al. (2009),4,4540,80
Croatan Sound,35.920,75.740,Cyrtopleura shell,-0.6,3659-3316,-7.13,0.51,Horton et al. (2009),4,3670,50
Croatan Sound,35.920,75.740,Nassarius shell,,3829-3449,-7.68,0.51,Horton et al. (2009),4,3810,50
Croatan Sound,35.900,75.730,Mya shell,,4294-3833,-7.66,0.51,Horton et al. (2009),4,4130,60
Nags Head,36.150,75.330,C. virginica dredge,0,9481-7708,-34.00,0.51,Emery et al. (1967),4,8130,400
Pea Island,35.750,75.320,Donax shells,0,6176-5651,-24.00,0.51,Sears (1973),4,5618,100
Pamlico Sound,35.450,75.490,Chione cancellata shell,0.1,1340-1066,-3.70,0.11,Horton et al. (2009),4,1760,40
Pamlico Sound,35.470,75.530,Chione cancellata shell,-0.1,1697-1370,-4.94,0.51,Horton et al. (2009),4,2070,40
Roanoke Sound,35.950,75.650,Articulated Crassostrea,,1534-1207,-4.16,0.11,Horton et al. (2009),4,1900,60
Salvo,35.520,75.480,Chione cancellate,1.62,1500-1252,-2.91,0.51,Horton et al. (2009),4,1900,30
SNL-113A-63,35.460,75.570,Petricola sp.,-2.4,8310-7997,-18.38,0.51,Stanton (2008),4,7780,45
SNL-161C-90,35.460,75.570,C. virginica,-2.34,7158-6813,-13.38,0.51,Stanton (2008),4,6580,40
SNL-163B-28,35.460,75.570,C. virginica,-2.7,8836-8409,-18.48,0.51,Stanton (2008),4,8210,40
SNL-164D-93,35.460,75.570,C. virginica,-1.41,9717-9426,-24.98,0.51,Stanton (2008),4,8980,35
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Albemarle Sound,36.110,76.070,Wood,-30.7,7157-6749,-8.71,0.51,Horton et al. (2009),2,6060,60
Buxton,35.160,75.310,Undiff peat,-27.77,472-302,0.53,0.51,Horton et al. (2009),3,315,35
Broad Creek,35.850,75.620,Paleosol,,2750-2356,-1.78,0.51,Horton et al. (2009),3,2505,90
Broad Creek,35.860,75.630,Paleosol,,4141-3577,-1.78,0.51,Horton et al. (2009),3,3545,100
Broad Creek,35.870,75.640,Paleosol,,6312-5770,-1.93,0.51,Horton et al. (2009),3,5315,110
Broad Creek,35.870,75.640,Fresh peat,,2703-2009,-1.79,0.51,Horton et al. (2009),3,2290,110
,,,,,,,,,,,
Southern North Carolina,,,,,,,,,,,
Index Points,,,,,,,,,,,
Tump Point,34.970,76.380,Salt peat,-14.35,493-315,-0.36,0.20,Kemp (2009),1,350,30
Tump Point,34.970,76.380,Salt peat,-26.16,509-317,-0.47,0.20,Kemp (2009),1,385,35
Tump Point,34.970,76.380,Salt peat,-25.6,921-743,-0.67,0.20,Kemp (2009),1,915,35
Tump Point,34.970,76.380,Salt peat,-26.8,1313-1183,-0.97,0.20,Kemp (2009),1,1350,30
Wilmington,34.100,78.000,Salt peat,0,3901-3387,-3.03,0.59,Cinquemani et al. (1982),3,3390,110
Jarrett Bay,34.800,76.490,Salt peat,-25,1170-0,-0.73,0.25,Spaur and Snyder (1999),2,701,230
Jarrett Bay,34.800,76.490,Salt peat,-23,2682-1712,-1.91,0.25,Spaur and Snyder (1999),2,2130,161
Tump Point,34.970,76.380,Salt peat,-14.15,1689-1417,-1.19,0.20,Kemp (2009),1,1650,35
Croatan National Forest,34.700,77.100,Salt peat,,1414-698,-0.77,0.58,Cinquemani et al. (1982),3,1180,190
Croatan National Forest,34.700,77.100,Salt peat,,1890-1402,-1.27,0.58,Cinquemani et al. (1982),3,1735,110
Wilmington,34.100,78.000,Salt peat,,1546-988,-0.93,0.59,Cinquemani et al. (1982),3,1385,130
Wilmington,34.100,78.000,Salt peat,,3905-3389,-3.43,0.60,Cinquemani et al. (1982),3,3395,110
Wilmington,34.100,78.000,Salt peat,,4240-3592,-4.23,0.60,Cinquemani et al. (1982),3,3600,115
Wilmington,34.100,78.000,Salt peat,,4821-3845,-5.53,0.63,Cinquemani et al. (1982),3,3870,175
Wilmington,34.100,78.000,Salt peat,,7156-5922,-8.03,0.60,Cinquemani et al. (1982),3,5675,250
Tump Point,34.970,76.380,Salt peat,,635-509,-0.80,0.21,Kemp (2009),1,535,35
Tump Point,34.970,76.380,Salt peat,,300-0,-0.55,0.21,Kemp (2009),1,185,30
Tump Point,34.970,76.380,Salt peat,,901-693,-1.04,0.21,Kemp (2009),1,860,30
Tump Point,34.970,76.380,Salt peat,,929-795,-1.15,0.21,Kemp (2009),1,960,30
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Pamlico Sound,34.980,76.200,Argopecten,0.16,485-277,-2.25,0.11,Horton et al. (2009),4,835,30
Pamlico Sound,34.900,76.260,Elphidium,-1.57,1262-991,-2.91,0.51,Culver et al. (2007),4,1670,30
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Cape Fear Arch,33.590,77.880,Undiff peat,,12637-10701,-24.64,0.51,Field et al. (1979),3,10000,300
Jarrett Bay,34.800,76.490,Fresh peat,-27,4282-2880,-2.01,0.19,Spaur and Snyder (1999),3,3330,263
Jarrett Bay,34.800,76.490,Fresh peat,-28,6856-6214,-2.43,0.19,Spaur and Snyder (1999),3,5710,142
,,,,,,,,,,,
Northern South Carolina,,,,,,,,,,,
Index Points,,,,,,,,,,,
Murrells Inlet,33.580,79.000,Salt peat,-24.4,5291-3975,-3.02,0.93,Gayes et al. (1992),1,4090,235
Pee Dee River,33.400,79.200,Salt peat,,4434-3638,-3.41,0.95,Cinquemani et al. (1982),3,3690,150
Pee Dee River,33.400,79.200,Salt peat,,2957-2363,-2.61,0.95,Cinquemani et al. (1982),3,2630,110
Pee Dee River,33.400,79.200,Salt peat,,6737-6129,-6.60,0.95,Cinquemani et al. (1982),3,5625,130
Pee Dee River,33.400,79.200,Salt peat,,7429-6555,-6.59,0.97,Cinquemani et al. (1982),3,6140,200
Santee River,33.200,79.400,Salt peat,,5986-3924,-4.11,0.96,Cinquemani et al. (1982),3,4420,405
Santee River,33.200,79.400,Salt peat,,3554-3068,-3.01,0.95,Cinquemani et al. (1982),3,3105,85
Santee River,33.200,79.400,Salt peat,,3687-2959,-3.01,0.95,Cinquemani et al. (1982),3,3135,140
Murrells Inlet,33.580,79.000,Salt peat,-22.6,4235-2961,-3.05,0.93,Gayes et al. (1992),1,3340,240
Pee Dee River,33.400,79.200,Salt peat,,5644-5042,-4.81,0.95,Cinquemani et al. (1982),3,4680,115
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Santee River,33.200,79.400,Paleosol,,5583-4857,-3.22,0.65,Cinquemani et al. (1982),3,4550,150
Murrells Inlet,33.580,79.000,Peat,-28.4,2732-1616,-0.11,0.63,Gayes et al. (1992),3,4550,150
Murrells Inlet,33.580,79.000,Wood,-28.2,2919-2181,-0.21,0.63,Gayes et al. (1992),2,2510,140
Murrells Inlet,33.580,79.000,Peat,-27.5,4148-3378,-2.13,0.63,Gayes et al. (1992),3,3460,155
Murrells Inlet,33.580,79.000,Peat,-27.8,2748-2060,-0.12,0.63,Gayes et al. (1992),3,2355,140
Murrells Inlet,33.580,79.000,Peat,-27.3,10272-8790,-1.43,0.63,Gayes et al. (1992),3,8575,270
Murrells Inlet,33.580,79.000,Peat,-27.8,11059-9527,-2.51,0.63,Gayes et al. (1992),3,9035,245
Murrells Inlet,33.580,79.000,Peat,-29,11762-9944,-2.57,0.63,Gayes et al. (1992),3,9510,285
,,,,,,,,,,,
Southern South Carolina,,,,,,,,,,,
Index Points,,,,,,,,,,,
Combahee River,32.700,80.700,Salt peat,,6401-5933,-4.10,1.02,Cinquemani et al. (1982),3,5400,115
Combahee River,32.700,80.700,Salt peat,,6297-5753,-3.95,1.02,Cinquemani et al. (1982),3,5280,115
Combahee River,32.700,80.700,Salt peat,,6743-6025,-3.58,1.02,Cinquemani et al. (1982),3,5620,140
Combahee River,32.700,80.700,Salt peat,,3323-2781,-2.20,1.02,Cinquemani et al. (1982),3,2880,105
Combahee River,32.700,80.700,Salt peat,,3895-3265,-2.68,1.02,Cinquemani et al. (1982),3,3325,130
Combahee River,32.700,80.700,Salt peat,,5577-4577,-3.29,1.04,Cinquemani et al. (1982),3,4425,170
Coosawatchie River,32.600,80.900,Salt peat,,2337-1897,-1.28,1.03,Cinquemani et al. (1982),3,2125,100
Coosawatchie River,32.600,80.900,Salt peat,,907-533,-0.72,1.03,Cinquemani et al. (1982),3,730,105
Savannah River,32.100,81.000,Salt peat,,3553-3003,-2.61,1.11,Cinquemani et al. (1982),3,3095,95
Savannah River,32.100,81.000,Salt peat,,2718-2066,-2.41,1.11,Cinquemani et al. (1982),3,2320,110
Savannah River,32.100,81.000,Salt peat,,2776-2156,-3.26,1.11,Cinquemani et al. (1982),3,2440,130
Savannah River,32.100,81.000,Salt peat,,3637-2995,-1.96,1.11,Cinquemani et al. (1982),3,3130,125
Cooper-Wando River,32.900,79.900,Salt peat,,3556-3004,-2.50,0.94,Cinquemani et al. (1982),3,3100,100
Cooper-Wando River,32.900,79.900,Salt peat,,6175-5333,-4.40,0.96,Cinquemani et al. (1982),3,5005,140
Cooper-Wando River,32.900,79.900,Salt peat,,5287-4525,-3.45,0.95,Cinquemani et al. (1982),3,4290,125
Cooper-Wando River,32.900,79.900,Salt peat,,4838-4448,-2.85,0.95,Cinquemani et al. (1982),3,4135,65
Cooper-Wando River,32.900,79.900,Salt peat,,2352-1882,-1.60,0.94,Cinquemani et al. (1982),3,2150,110
Cooper-Wando River,32.900,79.900,Salt peat,,2740-2012,-1.85,1.00,Cinquemani et al. (1982),3,2330,140
Cooper-Wando River,32.900,79.900,Salt peat,,5647-4973,-2.80,0.95,Cinquemani et al. (1982),3,4665,130
Cooper-Wando River,32.900,79.900,Salt peat,,3678-2878,-2.00,0.94,Cinquemani et al. (1982),3,3100,155
Cooper-Wando River,32.900,79.900,Salt peat,,6181-4665,-3.95,0.95,Cinquemani et al. (1982),3,4755,285
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Cooper-Wando River,32.900,79.900,Stump,,2311-1739,-0.20,0.62,Cinquemani et al. (1982),2,2035,105
Cooper-Wando River,32.900,79.900,Stump,,3144-2464,-1.20,0.62,Cinquemani et al. (1982),2,2695,115
