Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Cape Small,43.683,69.917,A. isl,,914-636,-37.91,3.02,Kelley et al. (1992),4,1300,35
Cape Small,43.683,69.917,M. are,,2326-1924,-39.01,3.02,Kelley et al. (1992),4,2570,50
Cape Small,43.683,69.917,M. are,,3161-2049,-42.11,3.02,Kelley et al. (1992),4,2950,210
Cape Small,43.800,69.850,A. isl,,8974-8440,-46.11,3.02,Kelley et al. (1992),4,8270,75
Casco Bay,43.717,70.167,M. are,,10089-9519,-24.11,3.02,Kelley et al. (1992),4,9130,70
Penobscot Bay,44.414,68.857,M. are,,9487-9037,-27.40,3.02,Barnhardt et al. (1995),4,8730,70
Penobscot Bay,44.414,68.857,M. are,,9484-9058,-27.40,3.02,Barnhardt et al. (1995),4,8730,60
Fox Island,44.119,68.869,M. are,2,6455-5911,-11.25,0.80,Belknap et al. (1989),4,5880,105
Fox Island,44.119,68.869,M. are,1.6,5975-5453,-7.60,0.80,Belknap et al. (1989),4,5430,100
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Penobscot Bay,44.176,68.825,Wood,-26.3,4780-3484,-0.52,0.80,Belknap et al. (1989),2,3700,200
Wells,43.320,70.580,stump,,5313-5051,-1.23,0.26,Kelley et al. (1995),2,4535,35
Wells,43.320,70.580,stump,,3574-3390,-1.23,0.26,Kelley et al. (1995),2,3260,40
Wells,43.320,70.580,white pine stump,,3559-2757,2.83,0.73,Bloom (1963),2,2980,180
Wells,43.320,70.580,white pine stump,,3436-2366,3.90,0.73,Bloom (1963),2,2810,200
Wells,43.320,70.580,wood,,5309-4887,-2.06,0.16,Kelley et al. (1995),2,4480,60
,,,,,,,,,,,
Northern Massacusetts,,,,,,,,,,,
Index Points,,,,,,,,,,,
Romney Marsh,42.428,70.989,Jg and Sp,-18,3376-3080,-2.52,0.41,Donnelly (2006),2,3050,50
Romney Marsh,42.428,70.989,Ds,-15,3328-2948,-2.33,0.41,Donnelly (2006),2,2950,60
Romney Marsh,42.428,70.989,"Jg, Sr and Sp",-23.8,1927-1727,-1.38,0.40,Donnelly (2006),2,1900,40
Romney Marsh,42.428,70.989,Jg and Sp,-20.8,468-0,-0.73,0.40,Donnelly (2006),2,260,50
Romney Marsh,42.428,70.989,Sp,-15.7,1058-804,-0.95,0.40,Donnelly (2006),2,1040,40
Romney Marsh,42.428,70.989,Sp,-14.7,2744-2366,-1.94,0.40,Donnelly (2006),2,2510,50
Boston,42.500,71.100,Salt marsh peat,,2854-2348,-1.40,1.13,Kaye and Barghoorn (1964),3,2550,115
Plum Island,42.725,70.856,Salt marsh rhizome,-12.4,780-682,-1.12,0.84,Kirwan et al (2011),3,815,30
Plum Island,42.725,70.856,Salt marsh rhizome,,3158-2780,-2.94,0.84,Kirwan et al (2011),3,2830,70
Plum Island,42.725,70.856,Salt marsh peat,-17.3,5895-5662,-5.97,0.84,Kirwan et al (2011),3,5030,35
Plum Island,42.745,70.831,Ds,-11.6,552-506,-1.37,0.84,Kirwan et al (2011),1,510,25
Plum Island,42.745,70.831,Salt marsh rhizome,-14.2,4418-4246,-3.13,1.00,Kirwan et al (2011),3,3900,30
Plum Island,42.744,70.826,Salt marsh rhizome,-12.4,3831-3635,-2.4,1.00,Kirwan et al (2011),3,3450,35
Plum Island,42.746,70.823,Ds,-12.2,547-482,-1.22,0.84,Kirwan et al (2011),1,475,35
Plum Island,42.739,70.839,Salt marsh rhizome,-12.5,499-316,-1.05,0.84,Kirwan et al (2011),3,360,30
Plum Island,42.739,70.839,Salt marsh rhizome,-11.9,1256-1059,-0.66,1.00,Kirwan et al (2011),3,1210,30
Plum Island,42.739,70.839,Salt marsh rhizome,-12.4,1687-1418,-1.16,1.00,Kirwan et al (2011),3,1650,30
Plum Island,42.739,70.839,Salt marsh rhizome,-12.4,2310-2130,-1.88,1.00,Kirwan et al (2011),3,2190,25
